,manifolds,count<51,time
29,o9_25230,"[0, 0, 5, 0, 0, 4, 0, 0, 8, 0, 0, 8, 0, 0, 16, 0, 0, 8, 0, 0, 24, 0, 0, 16, 0, 0, 24, 0, 0, 16, 0, 0, 40, 0, 0, 16, 0, 0, 48, 0, 0, 24, 0, 0, 32, 0, 0, 32, 0]",16.764054733794183
30,K15n143746,"[4, 4, 0, 2, 0, 4, 0, 4, 0, 8, 0, 4, 0, 12, 0, 8, 0, 12, 0, 8, 0, 20, 0, 8, 0, 24, 0, 12, 0, 16, 0, 16, 0, 32, 0, 12, 0, 36, 0, 16, 0, 24, 0, 20, 0, 44, 0, 16, 0]",152.63996405526996
31,K15n138922,"[0, 2, 4, 1, 0, 5, 0, 2, 6, 4, 0, 8, 0, 6, 12, 4, 0, 12, 0, 4, 18, 10, 0, 16, 0, 12, 18, 6, 0, 20, 0, 8, 30, 16, 0, 18, 0, 18, 36, 8, 0, 30, 0, 10, 24, 22, 0, 32, 0]",80.1866595633328
32,o9_40667,"[2, 4, 2, 4, 4, 6, 6, 8, 6, 12, 10, 8, 12, 18, 8, 16, 16, 18, 18, 16, 12, 30, 22, 16, 20, 36, 18, 24, 28, 24, 30, 32, 20, 48, 24, 24, 36, 54, 24, 32, 40, 36, 42, 40, 24, 66, 46, 32, 42]",42.6814480391331
33,o9_35545,"[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11.728395635262132
34,K12n706,"[0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",156.6084283287637
35,K14n9732,"[0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",207.7620844328776
36,o9_36578,"[5, 4, 8, 8, 16, 8, 24, 16, 24, 16, 40, 16, 48, 24, 32, 32, 64, 24, 72, 32, 48, 40, 88, 32, 80, 48, 72, 48, 112, 32, 120, 64, 80, 64, 96, 48, 144, 72, 96, 64, 160, 48, 168, 80, 96, 88, 184, 64, 168]",103.36390458373353
37,K15n102596,"[0, 4, 0, 4, 0, 10, 0, 14, 0, 28, 0, 26, 0, 54, 0, 52, 0, 78, 0, 76, 0, 130, 0, 100, 0, 179, 0, 150, 0, 199, 0, 200, 0, 304, 0, 222, 0, 377, 0, 294, 0, 391, 0, 370, 0, 546, 0, 387, 0]",219.7900021392852
38,o9_41176,"[5, 2, 3, 3, 5, 3, 7, 5, 7, 5, 11, 5, 13, 7, 9, 9, 17, 7, 19, 9, 13, 11, 23, 9, 21, 13, 19, 13, 29, 9, 31, 17, 21, 17, 25, 13, 37, 19, 25, 17, 41, 13, 43, 21, 25, 23, 47, 17, 43]",80.37347279302776
